Episode_Return,env_step
9.0,9
35.0,44
15.0,59
11.0,70
23.0,93
17.0,110
13.0,123
17.0,140
41.0,181
17.0,198
29.0,227
14.0,241
11.0,252
12.0,264
50.0,314
32.0,346
21.0,367
41.0,408
34.0,442
31.0,473
15.0,488
32.0,520
24.0,544
19.0,563
11.0,574
15.0,589
33.0,622
14.0,636
<<<<<<< HEAD
12.0,648
42.0,690
29.0,719
15.0,734
17.0,751
18.0,769
45.0,814
90.0,904
19.0,923
12.0,935
16.0,951
18.0,969
17.0,986
10.0,996
23.0,1019
39.0,1058
16.0,1074
14.0,1088
26.0,1114
55.0,1169
21.0,1190
39.0,1229
29.0,1258
11.0,1269
33.0,1302
26.0,1328
15.0,1343
20.0,1363
22.0,1385
21.0,1406
14.0,1420
50.0,1470
13.0,1483
25.0,1508
19.0,1527
28.0,1555
23.0,1578
23.0,1601
25.0,1626
10.0,1636
12.0,1648
12.0,1660
33.0,1693
22.0,1715
13.0,1728
11.0,1739
51.0,1790
9.0,1799
10.0,1809
31.0,1840
21.0,1861
28.0,1889
25.0,1914
15.0,1929
13.0,1942
24.0,1966
12.0,1978
19.0,1997
14.0,2011
15.0,2026
12.0,2038
16.0,2054
17.0,2071
25.0,2096
41.0,2137
25.0,2162
28.0,2190
28.0,2218
22.0,2240
14.0,2254
19.0,2273
34.0,2307
56.0,2363
13.0,2376
43.0,2419
16.0,2435
12.0,2447
13.0,2460
17.0,2477
13.0,2490
11.0,2501
15.0,2516
22.0,2538
17.0,2555
58.0,2613
47.0,2660
18.0,2678
13.0,2691
30.0,2721
31.0,2752
37.0,2789
16.0,2805
58.0,2863
24.0,2887
36.0,2923
38.0,2961
16.0,2977
13.0,2990
9.0,2999
32.0,3031
17.0,3048
33.0,3081
44.0,3125
11.0,3136
29.0,3165
15.0,3180
15.0,3195
21.0,3216
82.0,3298
68.0,3366
31.0,3397
17.0,3414
19.0,3433
24.0,3457
26.0,3483
27.0,3510
15.0,3525
45.0,3570
23.0,3593
25.0,3618
31.0,3649
15.0,3664
14.0,3678
11.0,3689
24.0,3713
11.0,3724
20.0,3744
14.0,3758
15.0,3773
14.0,3787
24.0,3811
86.0,3897
15.0,3912
26.0,3938
22.0,3960
16.0,3976
10.0,3986
37.0,4023
19.0,4042
24.0,4066
12.0,4078
37.0,4115
15.0,4130
14.0,4144
11.0,4155
42.0,4197
9.0,4206
23.0,4229
19.0,4248
20.0,4268
16.0,4284
14.0,4298
22.0,4320
14.0,4334
17.0,4351
39.0,4390
27.0,4417
16.0,4433
11.0,4444
24.0,4468
22.0,4490
19.0,4509
42.0,4551
15.0,4566
14.0,4580
12.0,4592
43.0,4635
38.0,4673
23.0,4696
25.0,4721
51.0,4772
30.0,4802
14.0,4816
39.0,4855
11.0,4866
10.0,4876
19.0,4895
14.0,4909
19.0,4928
11.0,4939
43.0,4982
18.0,5000
25.0,5025
16.0,5041
20.0,5061
24.0,5085
20.0,5105
16.0,5121
16.0,5137
15.0,5152
13.0,5165
17.0,5182
20.0,5202
29.0,5231
28.0,5259
18.0,5277
17.0,5294
33.0,5327
14.0,5341
31.0,5372
37.0,5409
14.0,5423
23.0,5446
15.0,5461
18.0,5479
18.0,5497
45.0,5542
12.0,5554
33.0,5587
38.0,5625
10.0,5635
37.0,5672
27.0,5699
20.0,5719
41.0,5760
26.0,5786
13.0,5799
40.0,5839
40.0,5879
13.0,5892
13.0,5905
14.0,5919
40.0,5959
11.0,5970
21.0,5991
14.0,6005
23.0,6028
40.0,6068
12.0,6080
14.0,6094
13.0,6107
23.0,6130
14.0,6144
19.0,6163
11.0,6174
11.0,6185
37.0,6222
55.0,6277
53.0,6330
25.0,6355
9.0,6364
14.0,6378
18.0,6396
12.0,6408
24.0,6432
11.0,6443
27.0,6470
15.0,6485
22.0,6507
17.0,6524
27.0,6551
16.0,6567
20.0,6587
14.0,6601
10.0,6611
15.0,6626
18.0,6644
16.0,6660
17.0,6677
23.0,6700
39.0,6739
15.0,6754
38.0,6792
71.0,6863
20.0,6883
11.0,6894
11.0,6905
16.0,6921
11.0,6932
34.0,6966
15.0,6981
11.0,6992
15.0,7007
13.0,7020
14.0,7034
44.0,7078
27.0,7105
54.0,7159
36.0,7195
13.0,7208
13.0,7221
35.0,7256
15.0,7271
13.0,7284
13.0,7297
14.0,7311
15.0,7326
19.0,7345
12.0,7357
14.0,7371
31.0,7402
19.0,7421
18.0,7439
39.0,7478
37.0,7515
16.0,7531
20.0,7551
34.0,7585
17.0,7602
22.0,7624
11.0,7635
19.0,7654
24.0,7678
16.0,7694
28.0,7722
15.0,7737
32.0,7769
12.0,7781
22.0,7803
15.0,7818
11.0,7829
18.0,7847
31.0,7878
19.0,7897
27.0,7924
18.0,7942
15.0,7957
22.0,7979
30.0,8009
22.0,8031
25.0,8056
26.0,8082
17.0,8099
16.0,8115
24.0,8139
44.0,8183
10.0,8193
12.0,8205
16.0,8221
21.0,8242
33.0,8275
17.0,8292
24.0,8316
12.0,8328
43.0,8371
28.0,8399
43.0,8442
16.0,8458
15.0,8473
19.0,8492
15.0,8507
24.0,8531
19.0,8550
12.0,8562
37.0,8599
21.0,8620
16.0,8636
8.0,8644
13.0,8657
14.0,8671
12.0,8683
67.0,8750
22.0,8772
9.0,8781
15.0,8796
23.0,8819
29.0,8848
15.0,8863
23.0,8886
29.0,8915
14.0,8929
21.0,8950
21.0,8971
15.0,8986
18.0,9004
19.0,9023
14.0,9037
31.0,9068
16.0,9084
16.0,9100
21.0,9121
26.0,9147
14.0,9161
15.0,9176
10.0,9186
22.0,9208
52.0,9260
21.0,9281
21.0,9302
13.0,9315
11.0,9326
21.0,9347
18.0,9365
11.0,9376
13.0,9389
25.0,9414
33.0,9447
14.0,9461
32.0,9493
18.0,9511
27.0,9538
22.0,9560
18.0,9578
26.0,9604
16.0,9620
31.0,9651
61.0,9712
20.0,9732
24.0,9756
13.0,9769
47.0,9816
18.0,9834
11.0,9845
21.0,9866
9.0,9875
47.0,9922
15.0,9937
43.0,9980
29.0,10009
12.0,10021
16.0,10037
38.0,10075
43.0,10118
20.0,10138
23.0,10161
27.0,10188
9.0,10197
29.0,10226
19.0,10245
15.0,10260
17.0,10277
21.0,10298
29.0,10327
23.0,10350
38.0,10388
31.0,10419
37.0,10456
30.0,10486
28.0,10514
35.0,10549
11.0,10560
59.0,10619
14.0,10633
37.0,10670
30.0,10700
19.0,10719
17.0,10736
24.0,10760
44.0,10804
12.0,10816
25.0,10841
10.0,10851
12.0,10863
15.0,10878
28.0,10906
26.0,10932
9.0,10941
14.0,10955
16.0,10971
13.0,10984
28.0,11012
34.0,11046
16.0,11062
32.0,11094
18.0,11112
31.0,11143
14.0,11157
15.0,11172
8.0,11180
24.0,11204
13.0,11217
94.0,11311
15.0,11326
38.0,11364
25.0,11389
14.0,11403
26.0,11429
10.0,11439
11.0,11450
12.0,11462
19.0,11481
17.0,11498
47.0,11545
24.0,11569
24.0,11593
20.0,11613
15.0,11628
9.0,11637
33.0,11670
21.0,11691
15.0,11706
17.0,11723
22.0,11745
13.0,11758
9.0,11767
28.0,11795
22.0,11817
29.0,11846
24.0,11870
20.0,11890
12.0,11902
