Episode_Return,env_step
56.0,56
12.0,68
46.0,114
42.0,156
20.0,176
10.0,186
24.0,210
10.0,220
28.0,248
13.0,261
28.0,289
24.0,313
14.0,327
19.0,346
11.0,357
40.0,397
13.0,410
17.0,427
25.0,452
15.0,467
35.0,502
12.0,514
16.0,530
24.0,554
22.0,576
24.0,600
14.0,614
16.0,630
17.0,647
12.0,659
56.0,715
39.0,754
24.0,778
19.0,797
19.0,816
52.0,868
16.0,884
31.0,915
28.0,943
16.0,959
42.0,1001
33.0,1034
16.0,1050
24.0,1074
59.0,1133
15.0,1148
11.0,1159
50.0,1209
19.0,1228
12.0,1240
22.0,1262
89.0,1351
11.0,1362
19.0,1381
18.0,1399
14.0,1413
22.0,1435
26.0,1461
11.0,1472
24.0,1496
14.0,1510
32.0,1542
44.0,1586
18.0,1604
12.0,1616
9.0,1625
27.0,1652
12.0,1664
13.0,1677
14.0,1691
10.0,1701
24.0,1725
31.0,1756
18.0,1774
30.0,1804
26.0,1830
28.0,1858
11.0,1869
26.0,1895
14.0,1909
11.0,1920
20.0,1940
20.0,1960
21.0,1981
12.0,1993
16.0,2009
12.0,2021
19.0,2040
11.0,2051
64.0,2115
17.0,2132
10.0,2142
15.0,2157
24.0,2181
15.0,2196
67.0,2263
20.0,2283
19.0,2302
17.0,2319
11.0,2330
25.0,2355
49.0,2404
44.0,2448
16.0,2464
24.0,2488
16.0,2504
13.0,2517
27.0,2544
16.0,2560
11.0,2571
20.0,2591
25.0,2616
9.0,2625
18.0,2643
17.0,2660
24.0,2684
22.0,2706
15.0,2721
14.0,2735
19.0,2754
26.0,2780
42.0,2822
18.0,2840
21.0,2861
51.0,2912
20.0,2932
41.0,2973
16.0,2989
28.0,3017
18.0,3035
14.0,3049
31.0,3080
25.0,3105
18.0,3123
20.0,3143
42.0,3185
17.0,3202
15.0,3217
24.0,3241
25.0,3266
13.0,3279
38.0,3317
17.0,3334
29.0,3363
29.0,3392
14.0,3406
26.0,3432
23.0,3455
76.0,3531
18.0,3549
19.0,3568
20.0,3588
26.0,3614
31.0,3645
35.0,3680
30.0,3710
48.0,3758
21.0,3779
10.0,3789
23.0,3812
15.0,3827
9.0,3836
36.0,3872
24.0,3896
11.0,3907
33.0,3940
11.0,3951
56.0,4007
19.0,4026
20.0,4046
10.0,4056
10.0,4066
19.0,4085
15.0,4100
17.0,4117
12.0,4129
31.0,4160
23.0,4183
14.0,4197
19.0,4216
27.0,4243
20.0,4263
12.0,4275
11.0,4286
17.0,4303
20.0,4323
16.0,4339
106.0,4445
23.0,4468
65.0,4533
23.0,4556
20.0,4576
15.0,4591
16.0,4607
24.0,4631
19.0,4650
14.0,4664
18.0,4682
21.0,4703
11.0,4714
42.0,4756
14.0,4770
15.0,4785
23.0,4808
14.0,4822
12.0,4834
19.0,4853
10.0,4863
12.0,4875
22.0,4897
14.0,4911
29.0,4940
14.0,4954
28.0,4982
21.0,5003
21.0,5024
16.0,5040
14.0,5054
48.0,5102
17.0,5119
28.0,5147
9.0,5156
19.0,5175
20.0,5195
16.0,5211
16.0,5227
14.0,5241
10.0,5251
15.0,5266
9.0,5275
16.0,5291
24.0,5315
11.0,5326
27.0,5353
10.0,5363
10.0,5373
10.0,5383
19.0,5402
21.0,5423
16.0,5439
15.0,5454
19.0,5473
14.0,5487
16.0,5503
25.0,5528
28.0,5556
13.0,5569
21.0,5590
13.0,5603
18.0,5621
21.0,5642
47.0,5689
11.0,5700
22.0,5722
11.0,5733
13.0,5746
52.0,5798
13.0,5811
9.0,5820
14.0,5834
18.0,5852
12.0,5864
26.0,5890
17.0,5907
20.0,5927
31.0,5958
25.0,5983
15.0,5998
10.0,6008
19.0,6027
10.0,6037
24.0,6061
56.0,6117
51.0,6168
22.0,6190
15.0,6205
15.0,6220
25.0,6245
19.0,6264
15.0,6279
23.0,6302
40.0,6342
22.0,6364
16.0,6380
23.0,6403
43.0,6446
46.0,6492
23.0,6515
14.0,6529
21.0,6550
24.0,6574
56.0,6630
18.0,6648
26.0,6674
11.0,6685
30.0,6715
15.0,6730
25.0,6755
16.0,6771
10.0,6781
11.0,6792
14.0,6806
17.0,6823
19.0,6842
22.0,6864
13.0,6877
16.0,6893
15.0,6908
19.0,6927
46.0,6973
14.0,6987
15.0,7002
22.0,7024
17.0,7041
47.0,7088
22.0,7110
45.0,7155
17.0,7172
16.0,7188
10.0,7198
16.0,7214
26.0,7240
22.0,7262
25.0,7287
17.0,7304
20.0,7324
28.0,7352
22.0,7374
16.0,7390
24.0,7414
11.0,7425
29.0,7454
14.0,7468
10.0,7478
25.0,7503
20.0,7523
30.0,7553
23.0,7576
18.0,7594
18.0,7612
19.0,7631
14.0,7645
32.0,7677
17.0,7694
27.0,7721
18.0,7739
9.0,7748
15.0,7763
17.0,7780
11.0,7791
19.0,7810
8.0,7818
37.0,7855
70.0,7925
18.0,7943
11.0,7954
10.0,7964
9.0,7973
16.0,7989
41.0,8030
16.0,8046
38.0,8084
12.0,8096
21.0,8117
52.0,8169
15.0,8184
13.0,8197
30.0,8227
17.0,8244
12.0,8256
13.0,8269
13.0,8282
35.0,8317
40.0,8357
23.0,8380
10.0,8390
20.0,8410
22.0,8432
46.0,8478
41.0,8519
12.0,8531
23.0,8554
28.0,8582
9.0,8591
8.0,8599
27.0,8626
31.0,8657
9.0,8666
11.0,8677
17.0,8694
23.0,8717
18.0,8735
15.0,8750
10.0,8760
23.0,8783
35.0,8818
13.0,8831
33.0,8864
24.0,8888
28.0,8916
28.0,8944
18.0,8962
9.0,8971
13.0,8984
11.0,8995
11.0,9006
17.0,9023
12.0,9035
24.0,9059
15.0,9074
14.0,9088
16.0,9104
23.0,9127
10.0,9137
39.0,9176
21.0,9197
15.0,9212
15.0,9227
40.0,9267
16.0,9283
19.0,9302
34.0,9336
11.0,9347
17.0,9364
17.0,9381
16.0,9397
13.0,9410
22.0,9432
23.0,9455
26.0,9481
13.0,9494
21.0,9515
15.0,9530
13.0,9543
11.0,9554
10.0,9564
12.0,9576
22.0,9598
12.0,9610
16.0,9626
25.0,9651
19.0,9670
34.0,9704
20.0,9724
15.0,9739
16.0,9755
15.0,9770
18.0,9788
32.0,9820
32.0,9852
19.0,9871
30.0,9901
15.0,9916
20.0,9936
11.0,9947
24.0,9971
42.0,10013
15.0,10028
10.0,10038
21.0,10059
47.0,10106
12.0,10118
25.0,10143
12.0,10155
32.0,10187
19.0,10206
23.0,10229
10.0,10239
20.0,10259
37.0,10296
58.0,10354
16.0,10370
23.0,10393
13.0,10406
24.0,10430
22.0,10452
12.0,10464
14.0,10478
13.0,10491
14.0,10505
26.0,10531
42.0,10573
17.0,10590
17.0,10607
41.0,10648
20.0,10668
27.0,10695
12.0,10707
24.0,10731
20.0,10751
19.0,10770
13.0,10783
15.0,10798
13.0,10811
37.0,10848
34.0,10882
17.0,10899
19.0,10918
16.0,10934
14.0,10948
10.0,10958
29.0,10987
15.0,11002
15.0,11017
16.0,11033
42.0,11075
15.0,11090
23.0,11113
21.0,11134
14.0,11148
15.0,11163
33.0,11196
38.0,11234
22.0,11256
14.0,11270
9.0,11279
24.0,11303
24.0,11327
17.0,11344
41.0,11385
36.0,11421
19.0,11440
14.0,11454
15.0,11469
18.0,11487
14.0,11501
28.0,11529
9.0,11538
12.0,11550
11.0,11561
30.0,11591
39.0,11630
18.0,11648
38.0,11686
13.0,11699
44.0,11743
14.0,11757
17.0,11774
29.0,11803
14.0,11817
13.0,11830
26.0,11856
13.0,11869
39.0,11908
38.0,11946
27.0,11973
24.0,11997
14.0,12011
44.0,12055
21.0,12076
16.0,12092
50.0,12142
14.0,12156
15.0,12171
14.0,12185
18.0,12203
22.0,12225
25.0,12250
22.0,12272
46.0,12318
16.0,12334
22.0,12356
9.0,12365
24.0,12389
14.0,12403
12.0,12415
14.0,12429
15.0,12444
20.0,12464
29.0,12493
14.0,12507
22.0,12529
21.0,12550
17.0,12567
20.0,12587
15.0,12602
12.0,12614
20.0,12634
21.0,12655
37.0,12692
8.0,12700
14.0,12714
30.0,12744
14.0,12758
51.0,12809
31.0,12840
20.0,12860
20.0,12880
28.0,12908
24.0,12932
16.0,12948
22.0,12970
18.0,12988
14.0,13002
13.0,13015
18.0,13033
18.0,13051
40.0,13091
19.0,13110
18.0,13128
35.0,13163
25.0,13188
17.0,13205
13.0,13218
18.0,13236
21.0,13257
21.0,13278
14.0,13292
26.0,13318
21.0,13339
16.0,13355
32.0,13387
19.0,13406
44.0,13450
33.0,13483
13.0,13496
14.0,13510
33.0,13543
18.0,13561
23.0,13584
19.0,13603
14.0,13617
20.0,13637
22.0,13659
22.0,13681
24.0,13705
15.0,13720
11.0,13731
18.0,13749
38.0,13787
16.0,13803
39.0,13842
30.0,13872
15.0,13887
22.0,13909
22.0,13931
24.0,13955
45.0,14000
27.0,14027
31.0,14058
11.0,14069
18.0,14087
23.0,14110
12.0,14122
15.0,14137
30.0,14167
17.0,14184
20.0,14204
40.0,14244
19.0,14263
11.0,14274
20.0,14294
19.0,14313
12.0,14325
15.0,14340
26.0,14366
24.0,14390
11.0,14401
27.0,14428
18.0,14446
15.0,14461
14.0,14475
12.0,14487
38.0,14525
35.0,14560
23.0,14583
11.0,14594
39.0,14633
13.0,14646
24.0,14670
17.0,14687
17.0,14704
32.0,14736
9.0,14745
17.0,14762
44.0,14806
10.0,14816
13.0,14829
13.0,14842
16.0,14858
16.0,14874
12.0,14886
24.0,14910
15.0,14925
10.0,14935
17.0,14952
36.0,14988
27.0,15015
40.0,15055
38.0,15093
16.0,15109
20.0,15129
17.0,15146
34.0,15180
11.0,15191
25.0,15216
11.0,15227
10.0,15237
13.0,15250
22.0,15272
22.0,15294
17.0,15311
30.0,15341
30.0,15371
22.0,15393
30.0,15423
27.0,15450
25.0,15475
14.0,15489
9.0,15498
12.0,15510
18.0,15528
14.0,15542
13.0,15555
10.0,15565
14.0,15579
19.0,15598
16.0,15614
19.0,15633
26.0,15659
12.0,15671
16.0,15687
15.0,15702
17.0,15719
15.0,15734
13.0,15747
48.0,15795
35.0,15830
17.0,15847
22.0,15869
42.0,15911
11.0,15922
13.0,15935
13.0,15948
14.0,15962
15.0,15977
29.0,16006
32.0,16038
10.0,16048
38.0,16086
60.0,16146
12.0,16158
9.0,16167
12.0,16179
23.0,16202
13.0,16215
17.0,16232
15.0,16247
30.0,16277
13.0,16290
41.0,16331
27.0,16358
23.0,16381
34.0,16415
12.0,16427
34.0,16461
10.0,16471
15.0,16486
24.0,16510
12.0,16522
30.0,16552
21.0,16573
24.0,16597
21.0,16618
22.0,16640
19.0,16659
9.0,16668
15.0,16683
36.0,16719
14.0,16733
38.0,16771
24.0,16795
44.0,16839
59.0,16898
26.0,16924
16.0,16940
19.0,16959
12.0,16971
24.0,16995
19.0,17014
22.0,17036
17.0,17053
42.0,17095
18.0,17113
16.0,17129
30.0,17159
11.0,17170
15.0,17185
33.0,17218
18.0,17236
27.0,17263
27.0,17290
46.0,17336
16.0,17352
26.0,17378
57.0,17435
18.0,17453
11.0,17464
21.0,17485
43.0,17528
41.0,17569
12.0,17581
16.0,17597
52.0,17649
25.0,17674
26.0,17700
11.0,17711
21.0,17732
19.0,17751
17.0,17768
14.0,17782
23.0,17805
16.0,17821
29.0,17850
19.0,17869
19.0,17888
17.0,17905
45.0,17950
12.0,17962
36.0,17998
17.0,18015
16.0,18031
12.0,18043
23.0,18066
16.0,18082
19.0,18101
12.0,18113
36.0,18149
22.0,18171
14.0,18185
46.0,18231
18.0,18249
12.0,18261
37.0,18298
22.0,18320
19.0,18339
16.0,18355
42.0,18397
25.0,18422
43.0,18465
27.0,18492
23.0,18515
32.0,18547
11.0,18558
21.0,18579
28.0,18607
17.0,18624
45.0,18669
13.0,18682
27.0,18709
40.0,18749
16.0,18765
11.0,18776
21.0,18797
15.0,18812
10.0,18822
21.0,18843
17.0,18860
18.0,18878
44.0,18922
14.0,18936
10.0,18946
18.0,18964
9.0,18973
17.0,18990
17.0,19007
17.0,19024
11.0,19035
32.0,19067
9.0,19076
24.0,19100
30.0,19130
33.0,19163
26.0,19189
19.0,19208
14.0,19222
30.0,19252
21.0,19273
12.0,19285
30.0,19315
18.0,19333
15.0,19348
17.0,19365
24.0,19389
43.0,19432
13.0,19445
22.0,19467
52.0,19519
50.0,19569
12.0,19581
22.0,19603
31.0,19634
75.0,19709
9.0,19718
14.0,19732
48.0,19780
11.0,19791
18.0,19809
36.0,19845
16.0,19861
13.0,19874
42.0,19916
13.0,19929
38.0,19967
24.0,19991
17.0,20008
17.0,20025
15.0,20040
41.0,20081
19.0,20100
22.0,20122
18.0,20140
14.0,20154
15.0,20169
12.0,20181
10.0,20191
18.0,20209
17.0,20226
12.0,20238
10.0,20248
13.0,20261
15.0,20276
17.0,20293
28.0,20321
35.0,20356
24.0,20380
52.0,20432
15.0,20447
26.0,20473
20.0,20493
30.0,20523
24.0,20547
11.0,20558
12.0,20570
18.0,20588
25.0,20613
12.0,20625
24.0,20649
36.0,20685
22.0,20707
25.0,20732
31.0,20763
16.0,20779
13.0,20792
14.0,20806
35.0,20841
22.0,20863
32.0,20895
13.0,20908
19.0,20927
15.0,20942
18.0,20960
49.0,21009
34.0,21043
40.0,21083
36.0,21119
20.0,21139
17.0,21156
51.0,21207
11.0,21218
26.0,21244
25.0,21269
20.0,21289
53.0,21342
29.0,21371
12.0,21383
12.0,21395
24.0,21419
24.0,21443
43.0,21486
12.0,21498
13.0,21511
19.0,21530
70.0,21600
30.0,21630
14.0,21644
12.0,21656
13.0,21669
27.0,21696
12.0,21708
24.0,21732
21.0,21753
13.0,21766
22.0,21788
11.0,21799
12.0,21811
30.0,21841
24.0,21865
17.0,21882
11.0,21893
25.0,21918
19.0,21937
16.0,21953
12.0,21965
10.0,21975
14.0,21989
13.0,22002
30.0,22032
14.0,22046
50.0,22096
54.0,22150
30.0,22180
27.0,22207
44.0,22251
14.0,22265
31.0,22296
23.0,22319
14.0,22333
10.0,22343
19.0,22362
10.0,22372
16.0,22388
24.0,22412
19.0,22431
12.0,22443
11.0,22454
23.0,22477
18.0,22495
25.0,22520
32.0,22552
13.0,22565
18.0,22583
10.0,22593
11.0,22604
39.0,22643
16.0,22659
18.0,22677
27.0,22704
16.0,22720
20.0,22740
13.0,22753
23.0,22776
20.0,22796
17.0,22813
21.0,22834
11.0,22845
17.0,22862
11.0,22873
12.0,22885
20.0,22905
22.0,22927
18.0,22945
24.0,22969
26.0,22995
12.0,23007
17.0,23024
14.0,23038
9.0,23047
19.0,23066
40.0,23106
27.0,23133
10.0,23143
28.0,23171
13.0,23184
22.0,23206
20.0,23226
48.0,23274
20.0,23294
14.0,23308
75.0,23383
15.0,23398
12.0,23410
18.0,23428
62.0,23490
14.0,23504
17.0,23521
11.0,23532
19.0,23551
20.0,23571
27.0,23598
10.0,23608
21.0,23629
31.0,23660
13.0,23673
25.0,23698
12.0,23710
40.0,23750
10.0,23760
14.0,23774
18.0,23792
15.0,23807
18.0,23825
45.0,23870
13.0,23883
19.0,23902
19.0,23921
30.0,23951
13.0,23964
12.0,23976
15.0,23991
10.0,24001
48.0,24049
25.0,24074
16.0,24090
39.0,24129
23.0,24152
14.0,24166
17.0,24183
15.0,24198
47.0,24245
27.0,24272
18.0,24290
20.0,24310
13.0,24323
19.0,24342
19.0,24361
24.0,24385
42.0,24427
12.0,24439
13.0,24452
13.0,24465
13.0,24478
27.0,24505
13.0,24518
27.0,24545
18.0,24563
33.0,24596
12.0,24608
17.0,24625
44.0,24669
14.0,24683
12.0,24695
12.0,24707
17.0,24724
12.0,24736
16.0,24752
13.0,24765
10.0,24775
30.0,24805
46.0,24851
19.0,24870
18.0,24888
52.0,24940
8.0,24948
10.0,24958
11.0,24969
25.0,24994
24.0,25018
14.0,25032
23.0,25055
15.0,25070
26.0,25096
28.0,25124
14.0,25138
18.0,25156
30.0,25186
14.0,25200
17.0,25217
32.0,25249
23.0,25272
21.0,25293
21.0,25314
29.0,25343
19.0,25362
18.0,25380
38.0,25418
16.0,25434
48.0,25482
26.0,25508
24.0,25532
26.0,25558
35.0,25593
24.0,25617
32.0,25649
10.0,25659
8.0,25667
31.0,25698
31.0,25729
19.0,25748
21.0,25769
11.0,25780
20.0,25800
12.0,25812
19.0,25831
29.0,25860
13.0,25873
24.0,25897
13.0,25910
24.0,25934
12.0,25946
27.0,25973
34.0,26007
28.0,26035
19.0,26054
16.0,26070
24.0,26094
32.0,26126
10.0,26136
16.0,26152
19.0,26171
21.0,26192
10.0,26202
32.0,26234
32.0,26266
28.0,26294
50.0,26344
14.0,26358
12.0,26370
41.0,26411
14.0,26425
23.0,26448
33.0,26481
34.0,26515
15.0,26530
16.0,26546
24.0,26570
18.0,26588
11.0,26599
10.0,26609
16.0,26625
15.0,26640
15.0,26655
21.0,26676
20.0,26696
13.0,26709
21.0,26730
34.0,26764
27.0,26791
24.0,26815
17.0,26832
36.0,26868
116.0,26984
18.0,27002
18.0,27020
22.0,27042
16.0,27058
14.0,27072
9.0,27081
37.0,27118
27.0,27145
22.0,27167
21.0,27188
13.0,27201
15.0,27216
9.0,27225
12.0,27237
10.0,27247
11.0,27258
12.0,27270
11.0,27281
23.0,27304
15.0,27319
14.0,27333
15.0,27348
9.0,27357
25.0,27382
22.0,27404
13.0,27417
19.0,27436
24.0,27460
19.0,27479
21.0,27500
23.0,27523
10.0,27533
17.0,27550
12.0,27562
11.0,27573
16.0,27589
9.0,27598
15.0,27613
16.0,27629
42.0,27671
22.0,27693
19.0,27712
16.0,27728
17.0,27745
26.0,27771
12.0,27783
19.0,27802
28.0,27830
30.0,27860
25.0,27885
22.0,27907
21.0,27928
34.0,27962
20.0,27982
19.0,28001
17.0,28018
61.0,28079
13.0,28092
44.0,28136
15.0,28151
66.0,28217
22.0,28239
13.0,28252
41.0,28293
13.0,28306
25.0,28331
11.0,28342
26.0,28368
29.0,28397
8.0,28405
17.0,28422
26.0,28448
23.0,28471
24.0,28495
13.0,28508
25.0,28533
10.0,28543
37.0,28580
9.0,28589
16.0,28605
30.0,28635
17.0,28652
17.0,28669
29.0,28698
16.0,28714
22.0,28736
19.0,28755
15.0,28770
15.0,28785
25.0,28810
15.0,28825
22.0,28847
27.0,28874
14.0,28888
23.0,28911
14.0,28925
19.0,28944
13.0,28957
12.0,28969
12.0,28981
15.0,28996
16.0,29012
14.0,29026
17.0,29043
23.0,29066
10.0,29076
45.0,29121
19.0,29140
17.0,29157
14.0,29171
35.0,29206
17.0,29223
11.0,29234
26.0,29260
20.0,29280
26.0,29306
33.0,29339
14.0,29353
23.0,29376
32.0,29408
16.0,29424
25.0,29449
23.0,29472
15.0,29487
14.0,29501
13.0,29514
29.0,29543
28.0,29571
27.0,29598
14.0,29612
55.0,29667
42.0,29709
12.0,29721
15.0,29736
23.0,29759
22.0,29781
30.0,29811
25.0,29836
10.0,29846
26.0,29872
16.0,29888
19.0,29907
19.0,29926
22.0,29948
14.0,29962
12.0,29974
36.0,30010
31.0,30041
14.0,30055
23.0,30078
24.0,30102
10.0,30112
24.0,30136
15.0,30151
9.0,30160
52.0,30212
21.0,30233
43.0,30276
30.0,30306
45.0,30351
10.0,30361
9.0,30370
33.0,30403
19.0,30422
20.0,30442
20.0,30462
12.0,30474
30.0,30504
19.0,30523
15.0,30538
41.0,30579
15.0,30594
41.0,30635
17.0,30652
18.0,30670
12.0,30682
17.0,30699
26.0,30725
33.0,30758
13.0,30771
20.0,30791
15.0,30806
14.0,30820
15.0,30835
9.0,30844
22.0,30866
28.0,30894
26.0,30920
12.0,30932
15.0,30947
21.0,30968
27.0,30995
31.0,31026
13.0,31039
13.0,31052
64.0,31116
35.0,31151
11.0,31162
30.0,31192
14.0,31206
25.0,31231
17.0,31248
40.0,31288
29.0,31317
33.0,31350
15.0,31365
19.0,31384
12.0,31396
26.0,31422
20.0,31442
26.0,31468
28.0,31496
10.0,31506
22.0,31528
24.0,31552
31.0,31583
39.0,31622
25.0,31647
11.0,31658
16.0,31674
38.0,31712
63.0,31775
15.0,31790
26.0,31816
37.0,31853
14.0,31867
22.0,31889
11.0,31900
41.0,31941
54.0,31995
37.0,32032
34.0,32066
8.0,32074
24.0,32098
10.0,32108
12.0,32120
12.0,32132
48.0,32180
31.0,32211
14.0,32225
29.0,32254
21.0,32275
18.0,32293
10.0,32303
28.0,32331
21.0,32352
13.0,32365
33.0,32398
39.0,32437
17.0,32454
28.0,32482
10.0,32492
23.0,32515
15.0,32530
9.0,32539
12.0,32551
51.0,32602
12.0,32614
24.0,32638
14.0,32652
26.0,32678
11.0,32689
14.0,32703
30.0,32733
30.0,32763
14.0,32777
17.0,32794
33.0,32827
66.0,32893
15.0,32908
18.0,32926
16.0,32942
37.0,32979
11.0,32990
41.0,33031
14.0,33045
28.0,33073
13.0,33086
20.0,33106
11.0,33117
13.0,33130
15.0,33145
40.0,33185
40.0,33225
18.0,33243
38.0,33281
29.0,33310
24.0,33334
12.0,33346
12.0,33358
18.0,33376
57.0,33433
14.0,33447
24.0,33471
20.0,33491
15.0,33506
19.0,33525
26.0,33551
22.0,33573
19.0,33592
